
> promptionary-backend@1.0.0 dev
> ts-node-dev --respawn --transpile-only src/server.ts

[INFO] 15:26:11 ts-node-dev ver. 2.0.0 (using ts-node ver. 10.9.2, typescript ver. 5.8.3)
Server running at http://localhost:3000
Environment: { NODE_ENV: undefined, PORT: '3000', OPENAI_API_KEY: 'Set' }
2025-06-09T20:26:14.545Z - GET /api/games/9hmisq
2025-06-09T20:26:14.791Z - GET /api/games/9hmisq
2025-06-09T20:26:15.131Z - GET /api/games/9hmisq
2025-06-09T20:26:15.133Z - GET /api/games/9hmisq
2025-06-09T20:26:17.754Z - POST /api/games
2025-06-09T20:26:19.023Z - GET /api/games/o5uaji
2025-06-09T20:26:19.036Z - GET /api/games/o5uaji
2025-06-09T20:26:28.656Z - POST /api/games
2025-06-09T20:26:33.724Z - GET /api/games/3me06o
2025-06-09T20:26:38.716Z - GET /api/games/3me06o
2025-06-09T20:26:43.714Z - GET /api/games/3me06o
2025-06-09T20:26:48.717Z - GET /api/games/3me06o
2025-06-09T20:26:50.046Z - GET /api/games/3me06o
2025-06-09T20:26:50.049Z - GET /api/games/3me06o
2025-06-09T20:27:45.962Z - GET /api/games/3me06o
2025-06-09T20:27:45.969Z - GET /api/games/3me06o
2025-06-09T20:28:07.326Z - GET /api/games/3me06o
2025-06-09T20:28:07.331Z - GET /api/games/3me06o
2025-06-09T20:28:10.673Z - POST /api/games
2025-06-09T20:28:13.188Z - GET /api/games/ht94o1
2025-06-09T20:28:13.190Z - GET /api/games/ht94o1
2025-06-09T20:28:15.151Z - GET /api/games/ht94o1
2025-06-09T20:28:18.318Z - GET /api/games/ht94o1
2025-06-09T20:28:23.316Z - GET /api/games/ht94o1
2025-06-09T20:28:28.316Z - GET /api/games/ht94o1
2025-06-09T20:28:28.653Z - GET /api/games/ht94o1
2025-06-09T20:28:28.657Z - GET /api/games/ht94o1
2025-06-09T20:28:33.806Z - GET /api/games/ht94o1
2025-06-09T20:28:37.308Z - GET /api/games/ht94o1
2025-06-09T20:28:37.313Z - GET /api/games/ht94o1
2025-06-09T20:28:44.675Z - POST /api/games
2025-06-09T20:28:45.676Z - GET /api/games/jsrbse
2025-06-09T20:28:45.680Z - GET /api/games/jsrbse
2025-06-09T20:28:50.807Z - GET /api/games/jsrbse
2025-06-09T20:28:55.801Z - GET /api/games/jsrbse
2025-06-09T20:29:00.806Z - GET /api/games/jsrbse
2025-06-09T20:29:05.807Z - GET /api/games/jsrbse
2025-06-09T20:29:10.804Z - GET /api/games/jsrbse
2025-06-09T20:29:15.802Z - GET /api/games/jsrbse
2025-06-09T20:29:20.806Z - GET /api/games/jsrbse
2025-06-09T20:29:21.592Z - GET /api/games/jsrbse
2025-06-09T20:29:21.593Z - GET /api/games/jsrbse
