
> promptionary-1@0.1.0 dev
> vite


  VITE v5.4.19  ready in 124 ms

  ➜  Local:   http://localhost:5173/
  ➜  Network: http://192.168.1.169:5173/
10:26:11 PM [vite] hmr update /src/components/Layout.tsx
10:26:11 PM [vite] hmr update /src/components/Layout.tsx
10:26:13 PM [vite] hmr update /src/pages/GameRoom.tsx
10:26:16 PM [vite] hmr update /src/pages/Login.tsx
10:27:43 PM [vite] hmr update /src/components/GameLobby.tsx
10:27:49 PM [vite] hmr update /src/components/PromptophonePhase.tsx
10:27:49 PM [vite] hmr update /src/components/PromptophonePhase.tsx
10:29:04 PM [vite] hmr update /src/pages/GameRoom.tsx
10:30:06 PM [vite] hmr update /src/pages/JoinGame.tsx
10:31:18 PM [vite] hmr update /src/pages/Account.tsx
10:31:19 PM [vite] hmr update /src/pages/Dashboard.tsx
10:31:21 PM [vite] hmr update /src/pages/GameHistory.tsx
10:31:24 PM [vite] hmr update /src/pages/Scoreboard.tsx
10:32:02 PM [vite] hmr update /src/pages/Dashboard.tsx
10:33:42 PM [vite] hmr update /src/components/Layout.tsx
10:35:16 PM [vite] hmr update /src/App.tsx
10:37:27 PM [vite] hmr update /src/pages/Login.tsx
10:37:29 PM [vite] hmr update /src/pages/JoinGame.tsx
10:37:30 PM [vite] hmr update /src/pages/JoinGame.tsx
10:37:32 PM [vite] hmr update /src/pages/GameRoom.tsx
